Trial Alias,Plant ID,Planning Plant,Material ID,Material,MRP element data,MRP element number,Abbreviation for MRP element,Account Number of Vendor or Creditor,Availability indicator,Calendar Day,Calendar Year,Calendar Year/Week,Customer name,Source number for order,Customer Number,Delivery/order finish date,Quantity received or quantity required,Issuing/Receiving Storage Location,Exception message number,Receipt/issue indicator,Receipt/Requirements date,Request Transaction Sequence Number,Rescheduling date,Start/release date,Storage Location,Tracking Number,Vendor name
CT-6551-IBW,US01,US01,MAT-52579,Cell Tablet,Order,2A431C19-BD6,MRP-88,391,Begin,2024-01-24,Half,Agree,Contreras-Maxwell,0DB649CA-F40,3066909,2025-01-16,111,Enjoy,799032120,Family,2025-01-18,72002539,2024-10-23,2025-08-12,House,TRK17485416,"Smith, Cobb and Griffith Pharma"
CT-6109-EDZ,AP03,AP03,MAT-86168,Run Solution,Order,B91ED3F0-13C,MRP-87,205,Outside,2024-06-02,However,Conference,Cervantes Inc,40399FB4-B0C,7979541,2024-12-09,199,Eat,291129922,Oil,2024-12-13,72501855,2026-01-07,2026-02-18,Stage,TRK21793838,"Marshall, Martinez and Walker Pharma"
CT-1816-RCG,AP03,AP03,MAT-37872,Effort Capsule,Order,E9DC4109-30B,MRP-46,7,Land,2023-11-21,Where,Me,"Alexander, Reed and Mccoy",DC6732A6-B32,7053054,2025-04-01,171,Least,483369487,Many,2025-04-06,77171848,2024-01-19,2024-12-19,Know,TRK51209827,Castillo Ltd Pharma
CT-7487-KNX,EU02,EU02,MAT-56157,Contain Solution,Order,654F1F56-570,MRP-72,328,Name,2026-09-10,Bill,Human,Sanchez-Williams,72E2F609-A3F,9899627,2025-06-12,89,Over,392899287,Understand,2025-06-09,12807713,2025-09-30,2025-09-21,Since,TRK96608858,Freeman and Sons Pharma
CT-9781-BYC,AP03,AP03,MAT-96156,Compare Tablet,Order,ADA890D8-F3F,MRP-58,446,Tell,2026-10-31,Within,Common,Dennis-Hunt,060D2D29-5FD,4299224,2025-08-22,295,Final,560664159,Mean,2025-08-27,37903871,2024-07-13,2025-03-10,Behind,TRK30796934,"Henry, Smith and Simpson Pharma"
CT-8970-PLO,EU02,EU02,MAT-82398,Range Solution,Order,ECE5617D-411,MRP-74,127,Community,2025-05-16,Help,We,Mayer-Zamora,95696318-323,3683197,2025-01-29,32,Fact,159008871,Walk,2025-02-01,85675870,2024-05-03,2026-02-20,Marriage,TRK44557748,Bennett-Stanton Pharma
CT-7484-BIH,LAT04,LAT04,MAT-66257,Hundred Solution,Order,044D2FC6-0A1,MRP-30,89,Pattern,2024-07-28,Sure,Project,Beck Inc,BE0807F8-705,1046653,2025-10-31,119,Recognize,428210893,Bill,2025-10-30,66734538,2024-04-26,2025-06-02,Customer,TRK39872861,"Howe, Townsend and Howell Pharma"
CT-3472-PNG,US01,US01,MAT-84153,Floor Patch,Order,954B5F54-FC0,MRP-10,364,Sign,2025-05-23,Later,Everything,Mejia Ltd,88D93C9A-BB6,2892738,2025-01-15,233,Worry,357189379,Any,2025-01-14,46481631,2026-05-07,2024-04-16,Team,TRK20855514,"Woodward, Davis and Tate Pharma"
CT-5806-JWO,AP03,AP03,MAT-26378,Shake Tablet,Order,41D466A6-21E,MRP-77,221,Put,2024-06-28,Discover,Lead,Scott-Mcdonald,D5E639AD-82A,8824310,2025-11-20,166,Me,267901161,Deep,2025-11-25,12134336,2024-06-29,2024-04-12,Clear,TRK14846683,Hester-Williamson Pharma
CT-6592-IDY,LAT04,LAT04,MAT-49508,Able Patch,Order,7C1A47DE-DD1,MRP-64,49,Democratic,2025-01-12,Difficult,Capital,"Patterson, Munoz and West",87528E6A-790,1533837,2025-02-11,54,Industry,917132260,Media,2025-02-09,52570515,2025-09-12,2026-09-07,Clearly,TRK71341615,"Knox, Hoover and Peters Pharma"
CT-8015-GMQ,US01,US01,MAT-74459,Memory Solution,Order,694E96DC-2A6,MRP-21,325,Stuff,2026-08-27,Each,Start,Robinson-Tucker,7B08EEA7-A6C,7320692,2025-06-12,71,Small,852886317,Nearly,2025-06-16,78453981,2024-11-27,2026-06-21,Various,TRK66137170,Martin PLC Pharma
CT-9781-BYC,AP03,AP03,MAT-96156,Compare Tablet,Order,41760EC3-898,MRP-18,329,Current,2024-05-24,From,Option,Silva-Boyd,13D53FD1-2EA,4157429,2025-02-03,296,Full,868184954,War,2025-02-08,79547230,2024-08-26,2024-04-26,Something,TRK00927791,Wilson and Sons Pharma
CT-8970-PLO,AP03,AP03,MAT-85304,Artist Solution,Order,CCFEC4B3-889,MRP-33,66,Security,2024-07-02,Score,Camera,Cannon LLC,EC2064DF-354,5259339,2025-11-01,13,As,681451056,Resource,2025-10-30,83723264,2025-10-21,2024-04-25,Similar,TRK37955278,Lewis-Baker Pharma
CT-7487-KNX,EU02,EU02,MAT-56157,Contain Solution,Order,603EDC76-89F,MRP-34,476,Probably,2025-06-16,Purpose,Wife,Dominguez PLC,AED5210F-538,2706994,2025-08-31,293,Group,407337869,Address,2025-09-01,17817043,2026-01-09,2024-07-05,Expert,TRK54308625,Hill LLC Pharma
CT-1816-RCG,AP03,AP03,MAT-37872,Effort Capsule,Order,535A2ABA-732,MRP-45,368,Deep,2023-12-29,Difference,Why,"Rodriguez, White and Flores",4D00FA38-F44,9864740,2025-05-11,249,Live,882644779,Water,2025-05-11,56234148,2024-04-29,2024-05-27,City,TRK29911629,Williams-Hall Pharma
CT-8015-GMQ,US01,US01,MAT-74459,Memory Solution,Order,060D2D29-5FD,MRP-93,172,Industry,2024-08-03,Onto,Read,"Hickman, Edwards and Young",18BE1300-48F,1042010,2025-11-20,214,And,305194753,American,2025-11-17,90408967,2024-09-02,2025-10-24,Tv,TRK99706022,Bates-Rodriguez Pharma
CT-3472-PNG,LAT04,LAT04,MAT-45907,Speech Patch,Order,29C1FE4B-0BF,MRP-90,127,Travel,2025-06-17,Kitchen,Water,Tyler and Sons,A7510327-2D1,7797396,2025-03-28,160,Program,836554996,Work,2025-03-25,90389739,2024-01-19,2025-05-02,People,TRK03208795,Spencer and Sons Pharma
CT-3395-UCM,LAT04,LAT04,MAT-82814,Reduce Solution,Order,CD20E168-B67,MRP-98,154,Figure,2026-02-03,Reason,Subject,James-Carter,19B119B0-986,1036525,2025-10-07,65,Seven,203697010,Almost,2025-10-09,33782868,2026-04-17,2026-06-28,World,TRK65846773,Ward Ltd Pharma
CT-3636-AVP,AP03,AP03,MAT-46171,Though Solution,Order,F810F57F-82C,MRP-74,291,Care,2026-08-17,Account,Training,Ali PLC,43F442CA-654,1860685,2025-02-26,131,Response,748860737,Stay,2025-02-25,46728267,2025-12-21,2024-05-20,Start,TRK00559094,Smith PLC Pharma
CT-8015-GMQ,US01,US01,MAT-74459,Memory Solution,Order,F58F8FB7-75D,MRP-53,336,Point,2026-08-14,Speech,How,Stafford-Evans,E2E08976-B06,6772102,2025-03-03,196,Example,114974496,Public,2025-03-02,53517983,2024-06-23,2024-01-27,Tree,TRK06498083,"Flynn, Collins and Lee Pharma"
CT-4229-AWU,EU02,EU02,MAT-40089,Pull Patch,Order,A8BF7403-DA8,MRP-51,419,Necessary,2026-03-19,Save,Respond,Valenzuela-Bradley,9CBEBD35-414,8065655,2025-06-18,97,Fall,333312647,Physical,2025-06-16,77285079,2026-07-02,2023-12-16,Information,TRK37948190,Hendricks-Soto Pharma
CT-3472-PNG,US01,US01,MAT-84153,Floor Patch,Order,22D3A96C-CE5,MRP-76,102,Determine,2024-10-21,Quite,Hand,Ingram PLC,37399508-4AE,4332324,2025-06-01,171,Fight,931893742,Race,2025-05-31,42016645,2026-04-01,2025-09-15,Letter,TRK18215879,"Ferrell, Scott and Bradley Pharma"
CT-8015-GMQ,US01,US01,MAT-74459,Memory Solution,Order,6BBDED17-78C,MRP-15,335,Hospital,2025-04-22,Indicate,Concern,Brown PLC,044D2FC6-0A1,5025074,2024-12-30,227,Since,305075115,I,2024-12-27,38451242,2026-04-03,2026-07-03,Significant,TRK66386514,Walters-Delgado Pharma
CT-9781-BYC,EU02,EU02,MAT-31615,Trouble Capsule,Order,D1C0BAB1-86B,MRP-40,426,Hear,2026-02-14,Police,My,"Harris, Dunn and Swanson",84747643-3B7,7227904,2025-07-20,225,Card,872919154,When,2025-07-24,51720332,2026-02-18,2025-03-04,Imagine,TRK09752479,Smith Inc Pharma
CT-1696-SCY,US01,US01,MAT-78401,Expect Tablet,Order,7E8BFE7E-71C,MRP-24,301,Spend,2026-10-25,Before,Need,"Fisher, Coleman and Edwards",CA6F43AD-A7B,6081022,2025-03-10,271,Adult,129343580,Agent,2025-03-14,39246643,2024-03-29,2025-01-14,Describe,TRK30994101,Dodson and Sons Pharma
CT-7484-BIH,EU02,EU02,MAT-74247,Great Patch,Order,C8C1DDA2-376,MRP-68,113,Black,2025-07-07,Listen,Take,Murphy Ltd,13D53FD1-2EA,7980506,2025-07-11,115,Sister,757776731,Indicate,2025-07-14,51987353,2025-09-03,2025-02-28,Memory,TRK11640296,"Meyer, Wright and Underwood Pharma"
CT-9831-IEW,LAT04,LAT04,MAT-16078,Stock Patch,Order,F038C3DD-DF4,MRP-83,281,Sense,2024-07-20,Step,Answer,Holmes-Hunter,805781A7-E1A,8274319,2024-12-20,204,Student,556744595,International,2024-12-22,22120435,2024-10-17,2025-05-31,Give,TRK71900633,"French, Anderson and Powers Pharma"
CT-2004-PSX,EU02,EU02,MAT-97442,Common Patch,Order,86905D6E-07A,MRP-17,66,Edge,2025-06-21,Really,Line,Williams-Hayes,1466B603-499,9958369,2025-05-15,218,Professional,828896592,Statement,2025-05-17,37612404,2024-03-27,2024-04-03,Drop,TRK34645916,Harvey Inc Pharma
CT-6910-RDE,US01,US01,MAT-22108,Win Injection,Order,974CD620-D0E,MRP-12,424,Inside,2026-04-28,Might,Enter,Henry-Saunders,302EBFD8-75D,4297178,2025-11-05,239,Entire,722402053,Interesting,2025-11-10,96472699,2024-08-13,2024-01-05,Near,TRK53406072,Rogers Group Pharma
CT-6109-EDZ,EU02,EU02,MAT-14039,Should Tablet,Order,A124C449-F40,MRP-22,301,Individual,2025-07-05,Hard,Add,Little-Craig,354C0CEF-9FF,2420212,2025-07-29,284,Writer,384266935,Fast,2025-07-28,95363826,2025-10-18,2025-04-15,Quickly,TRK62637359,Wells PLC Pharma
CT-9771-CZL,LAT04,LAT04,MAT-22610,Us Solution,Order,37B5CD9F-E09,MRP-66,64,Sometimes,2025-03-01,Girl,Different,Becker and Sons,276063F6-554,4400831,2025-05-05,282,Relationship,750546772,Born,2025-05-10,44532262,2024-06-10,2026-06-29,Heart,TRK90167735,Cantu-Ramirez Pharma
CT-3228-ZKT,AP03,AP03,MAT-30703,Cold Injection,Order,99D24A00-746,MRP-58,9,Process,2024-09-14,Threat,Guy,Graham Group,9CBEBD35-414,6037207,2025-06-23,295,Election,455198669,Parent,2025-06-27,28235682,2025-10-10,2026-01-16,But,TRK13022571,"Barnes, Thomas and Zamora Pharma"
CT-8742-ECD,US01,US01,MAT-47140,Side Capsule,Order,105D5698-13F,MRP-84,129,Event,2025-10-13,Although,Serious,"Day, Martin and Martin",DC77B20F-464,1618101,2025-10-07,39,Suggest,784714211,Out,2025-10-08,28635891,2024-06-03,2024-01-25,Western,TRK22588730,Harrison Group Pharma
CT-7487-KNX,EU02,EU02,MAT-56157,Contain Solution,Order,4C90F0B2-38C,MRP-95,400,This,2024-04-21,Development,Marriage,Wallace Group,E7347777-52D,4357270,2025-02-23,35,Explain,995990647,Car,2025-02-21,86245599,2025-09-17,2026-09-05,Evidence,TRK37493890,Rodriguez Group Pharma
CT-8872-GKR,LAT04,LAT04,MAT-66331,Step Solution,Order,D12FEB9C-3EF,MRP-85,77,Simply,2025-11-05,Draw,Stay,"Rodriguez, Henson and Reed",D4D67F91-29D,7953333,2025-08-24,293,Like,910204660,Collection,2025-08-21,30132530,2026-04-02,2024-08-07,Hundred,TRK28190309,Davis Ltd Pharma
CT-5806-JWO,US01,US01,MAT-81584,Set Solution,Order,703C84BA-54F,MRP-27,454,East,2025-03-14,Ago,Ability,Diaz-White,362FCDC7-090,1342958,2025-01-04,176,Star,823562853,Pass,2025-01-08,60918776,2024-02-09,2025-01-03,Early,TRK42859315,"Wilkins, Hansen and Smith Pharma"
CT-1816-RCG,AP03,AP03,MAT-37872,Effort Capsule,Order,6AA14615-5B4,MRP-58,85,Good,2025-06-21,Tough,Nor,Hamilton-Rivera,86905D6E-07A,8824110,2025-06-21,222,Whether,942942694,Very,2025-06-24,35696113,2026-10-21,2023-12-27,Wind,TRK25371126,Duncan Group Pharma
CT-9781-BYC,AP03,AP03,MAT-96156,Compare Tablet,Order,79EDC353-4DF,MRP-23,187,Give,2025-01-11,Forward,Exactly,Knight-Richards,8733D49D-751,7860116,2025-10-12,253,Term,700449448,Time,2025-10-09,62986689,2025-03-11,2024-04-13,Wife,TRK65641995,"Strickland, Skinner and Schultz Pharma"
CT-6910-RDE,AP03,AP03,MAT-93657,Dog Patch,Order,AD35DE4B-215,MRP-47,42,More,2025-05-19,Offer,Memory,Peters Ltd,C863EED3-4DE,3579930,2025-03-19,240,Still,424948241,Partner,2025-03-16,30261634,2025-02-03,2026-08-06,Here,TRK61317273,Miller-Molina Pharma
CT-9781-BYC,AP03,AP03,MAT-98864,Positive Injection,Order,5BF6AB13-B1D,MRP-56,27,There,2026-08-30,How,Up,"Mathis, Dyer and Bennett",302EBFD8-75D,6993043,2025-11-26,106,She,287854468,Morning,2025-11-25,65970736,2025-12-09,2025-06-01,Stay,TRK60074650,"Pineda, Harrington and Garrett Pharma"
CT-2004-PSX,EU02,EU02,MAT-32011,Offer Tablet,Order,820B4015-B5D,MRP-72,372,Never,2023-12-30,Space,Bad,Rivera-Garcia,4FFC728A-450,7959105,2025-10-04,29,Health,437018544,Morning,2025-10-08,83113122,2024-06-23,2024-01-11,Mission,TRK64541514,Price-Miller Pharma
CT-9771-CZL,LAT04,LAT04,MAT-22610,Us Solution,Order,CC4ACAE6-0A8,MRP-71,462,Leave,2024-09-26,American,Whose,Taylor Group,1C290466-294,3300453,2025-01-26,73,Cover,656283975,Term,2025-01-26,96035611,2025-08-16,2024-12-21,Deal,TRK33272567,Jordan Inc Pharma
CT-8015-GMQ,US01,US01,MAT-74459,Memory Solution,Order,420B1E11-8DA,MRP-27,183,Training,2025-04-11,Pm,Reflect,Sloan-Anderson,06816510-E5D,5898529,2025-02-06,93,About,573374484,Simple,2025-02-06,20373173,2025-10-25,2025-11-25,Official,TRK61196634,"Tanner, King and Strickland Pharma"
CT-3636-AVP,EU02,EU02,MAT-54383,Agency Injection,Order,0ACC4422-7D1,MRP-29,482,Want,2025-09-04,Television,Last,Webb PLC,72B8F29D-C0E,1630042,2025-05-01,225,Admit,250360353,Book,2025-05-02,81766198,2024-03-04,2025-05-23,Writer,TRK35605456,Wright and Sons Pharma
CT-7487-KNX,EU02,EU02,MAT-56157,Contain Solution,Order,AED5210F-538,MRP-81,117,Garden,2025-10-15,Course,Single,Huffman-Morris,F5EA0FB0-86D,1189134,2025-12-03,170,Land,521253487,Level,2025-12-03,70185821,2024-06-24,2026-01-29,Property,TRK33785664,Mitchell Inc Pharma
CT-9771-CZL,LAT04,LAT04,MAT-22610,Us Solution,Order,F2407184-2CE,MRP-65,268,Better,2024-09-25,Southern,Whatever,"Garcia, Perez and Flowers",D4D67F91-29D,8285236,2025-07-26,65,Alone,303876317,Board,2025-07-29,46792920,2025-04-08,2025-12-30,Floor,TRK89499100,"Bell, Stanley and Rowe Pharma"
CT-3395-UCM,US01,US01,MAT-40706,Keep Capsule,Order,38951FD6-B03,MRP-88,400,Show,2025-08-11,Here,Organization,"Henderson, Schmidt and Mcdonald",721F5CBB-8FF,3409730,2025-02-14,226,Better,226540829,Star,2025-02-14,82261233,2026-10-27,2024-10-01,Detail,TRK32615933,"Russell, Cannon and Allen Pharma"
CT-6551-IBW,US01,US01,MAT-52579,Cell Tablet,Order,96B625BB-687,MRP-30,81,Garden,2025-12-25,Worry,For,"Daniels, Hamilton and Davidson",CDED8377-18B,3250461,2025-07-16,154,Outside,928423651,Understand,2025-07-20,72560644,2026-07-26,2025-11-30,East,TRK74399173,Woodward and Sons Pharma
