Availability Date or Requirements Date,Category of Stock/Receipt/Requirement/Forecast,Category Type,Counter,Country/Reg,Delivery Date of a Schedule Line,Destination,Item Number for Identification of an Input/Output Node,Location,Order Number,Parent Product for Dependent Demand,Planning Version,Product Number,Production Version,Profit Center,Source,Start Time of the Order,Sublocation,Version,Confirmed Quantity_ATP,Original Quantity,Receipt or Requirements Quantity,Trial Alias
2025-10-12,Requirement,Purchase Requisition,2,Grenada,2025-10-09,West Melanie Medical Center,986171911,SITE-309,79EDC353-4DF,MAT-96156,B1,MAT-96156,PV-4451,PC8472,Russellhaven Logistics Center,17:17:58,Song,Central,307,301,139,CT-9781-BYC
2025-03-19,Requirement,Planned Order,23,Russian Federation,2025-03-16,Ramirezfurt Medical Center,559051672,SITE-169,AD35DE4B-215,MAT-93657,B1,MAT-93657,PV-2823,PC7344,East Dianeland Logistics Center,00:25:33,Wife,Development,491,166,433,CT-6910-RDE
2025-11-26,Requirement,Purchase Requisition,177,Grenada,2025-11-25,West Melanie Medical Center,259169870,SITE-309,5BF6AB13-B1D,MAT-98864,A1,MAT-98864,PV-9913,PC1781,Port Tiffany Logistics Center,06:11:57,Evening,Near,119,91,295,CT-9781-BYC
2025-10-04,Receipt,Purchase Requisition,849,Puerto Rico,2025-10-08,East Mitchellhaven Medical Center,262581255,SITE-103,820B4015-B5D,MAT-32011,B1,MAT-32011,PV-4920,PC3059,North Johnburgh Logistics Center,10:46:26,Director,Skin,95,404,346,CT-2004-PSX
2025-01-26,Requirement,Planned Order,447,British Virgin Islands,2025-01-26,Ramirezview Medical Center,337523777,SITE-236,CC4ACAE6-0A8,MAT-22610,B1,MAT-22610,PV-4912,PC1982,Turnerview Logistics Center,17:22:46,Growth,Great,464,200,81,CT-9771-CZL
2025-02-06,Receipt,Planned Order,914,Anguilla,2025-02-06,Rickport Medical Center,644608381,SITE-139,420B1E11-8DA,MAT-74459,B1,MAT-74459,PV-4392,PC2082,Port Charlene Logistics Center,23:28:07,Deal,Owner,430,298,490,CT-8015-GMQ
2025-05-01,Receipt,Purchase Requisition,387,Pitcairn Islands,2025-05-02,East Christopherchester Medical Center,539971745,SITE-254,0ACC4422-7D1,MAT-54383,A1,MAT-54383,PV-6621,PC3545,North Christophertown Logistics Center,11:45:31,Arrive,Cause,139,402,209,CT-3636-AVP
2025-12-03,Stock,Planned Order,31,Cuba,2025-12-03,Port Malik Medical Center,442309138,SITE-279,AED5210F-538,MAT-56157,A1,MAT-56157,PV-5048,PC6654,Freemanmouth Logistics Center,06:00:26,Scene,Within,149,365,488,CT-7487-KNX
2025-07-26,Receipt,Planned Order,66,British Virgin Islands,2025-07-29,East Alexander Medical Center,367076929,SITE-235,F2407184-2CE,MAT-22610,A1,MAT-22610,PV-9828,PC1473,Lake Jonathan Logistics Center,18:52:11,Office,Single,459,383,123,CT-9771-CZL
2025-02-14,Stock,Planned Order,158,Belize,2025-02-14,North Christian Medical Center,375002337,SITE-213,38951FD6-B03,MAT-40706,A1,MAT-40706,PV-7307,PC2727,Coreyshire Logistics Center,02:56:37,Force,Hair,173,26,309,CT-3395-UCM
2025-07-16,Receipt,Purchase Requisition,719,Madagascar,2025-07-20,North Kimberly Medical Center,912119975,SITE-293,96B625BB-687,MAT-52579,A1,MAT-52579,PV-5432,PC9211,Meganchester Logistics Center,18:15:26,Great,Us,430,188,33,CT-6551-IBW
