Trial Name,Location,Investigator,Package Type Description,Lot,Expiry Date,Packages Awaiting,Received Packages,Packages Pending FFU,Packages Pending Shipment,Shipped Packages,Min Qty,Max Qty,Initial Qty
Majority Trial,Korea,Kenneth Thomas,Reduce Solution,LOT-52789053,2026-04-29,1,1,0,3,5,18,76,34
Majority Trial,Zambia,Kenneth Thomas,Reduce Solution,LOT-52789053,2026-04-29,5,2,0,4,4,15,77,74
Wear Program,Nepal,Lawrence Sanchez,Though Solution,LOT-41301239,2025-12-18,0,8,1,1,0,15,104,34
Past Trial,Canada,Allen Mayer,Memory Solution,LOT-21570201,2026-12-22,3,4,0,4,4,11,119,30
Front Study,Albania,Amy Haney,Pull Patch,LOT-66136964,2026-11-16,0,7,0,3,0,11,120,25
Front Study,Cote d'Ivoire,Amy Haney,Pull Patch,LOT-66136964,2026-11-16,3,7,0,4,1,13,119,23
Front Study,Central African Republic,Amy Haney,Pull Patch,LOT-66136964,2026-11-16,3,3,0,4,1,19,111,60
Put Trial,Greece,John Smith,Floor Patch,LOT-21437748,2026-06-27,0,3,0,3,0,20,69,29
Put Trial,Finland,John Smith,Floor Patch,LOT-21437748,2026-06-27,2,10,0,2,6,13,90,39
Put Trial,Finland,John Smith,Floor Patch,LOT-21437748,2026-06-27,4,10,2,1,1,10,74,75
Past Trial,Papua New Guinea,Logan Rogers,Memory Solution,LOT-21570201,2026-12-22,2,5,0,1,3,14,94,66
Past Trial,Malaysia,Logan Rogers,Memory Solution,LOT-21570201,2026-12-22,4,9,1,3,0,15,101,29
Past Trial,Saudi Arabia,Logan Rogers,Memory Solution,LOT-21570201,2026-12-22,5,3,2,2,0,18,100,42
Past Trial,Albania,Logan Rogers,Memory Solution,LOT-21570201,2026-12-22,3,6,3,2,2,20,107,68
None Trial,Kenya,Cameron Harris,Trouble Capsule,LOT-96443919,2026-12-26,3,6,3,2,1,11,78,49
None Trial,Korea,Cameron Harris,Trouble Capsule,LOT-96443919,2026-12-26,2,3,1,2,0,12,68,67
None Trial,Saint Kitts and Nevis,Cameron Harris,Trouble Capsule,LOT-96443919,2026-12-26,5,2,2,2,5,12,107,56
Miss Trial,Guam,Carol Campbell,Expect Tablet,LOT-44491067,2028-06-07,0,4,2,3,2,17,107,36
Miss Trial,Afghanistan,Carol Campbell,Expect Tablet,LOT-44491067,2028-06-07,3,9,3,1,5,14,104,73
Miss Trial,Cote d'Ivoire,Carol Campbell,Expect Tablet,LOT-44491067,2028-06-07,2,5,1,0,6,15,114,47
Member Trial,Malaysia,Alan Strong,Great Patch,LOT-65547337,2026-04-22,4,3,0,3,3,16,65,43
Member Trial,Korea,Alan Strong,Great Patch,LOT-65547337,2026-04-22,5,5,3,1,0,16,61,66
Member Trial,United States of America,Alan Strong,Great Patch,LOT-65547337,2026-04-22,5,5,0,0,3,18,110,33
Myself Program,Indonesia,Scott Allen,Stock Patch,LOT-82476241,2025-06-26,2,1,1,4,0,19,78,52
Myself Program,Afghanistan,Scott Allen,Stock Patch,LOT-82476241,2025-06-26,1,5,3,4,4,18,52,63
Myself Program,Albania,Scott Allen,Stock Patch,LOT-82476241,2025-06-26,2,9,3,0,2,15,65,76
Home Trial,Czech Republic,Jesse Guzman,Common Patch,LOT-68153288,2027-09-07,4,4,0,2,5,17,52,62
Home Trial,Canada,Jesse Guzman,Common Patch,LOT-68153288,2027-09-07,3,4,2,1,2,17,82,20
Home Trial,Finland,Jesse Guzman,Common Patch,LOT-68153288,2027-09-07,0,5,3,4,4,18,120,51
Home Trial,Kazakhstan,Jesse Guzman,Common Patch,LOT-68153288,2027-09-07,5,3,2,4,0,17,50,26
Shake Study,Italy,Steven Jackson,Win Injection,LOT-34198332,2026-11-08,2,5,2,2,5,17,86,69
Shake Study,Swaziland,Steven Jackson,Win Injection,LOT-34198332,2026-11-08,4,8,1,1,0,18,56,63
City Program,Saudi Arabia,Kelsey Thomas,Should Tablet,LOT-57559766,2025-09-05,5,3,0,4,4,16,71,50
City Program,Portugal,Kelsey Thomas,Should Tablet,LOT-57559766,2025-09-05,1,9,0,4,1,18,61,38
Job Trial,Bhutan,Jennifer Clark,Us Solution,LOT-73505709,2027-09-26,1,10,2,2,3,10,100,52
Both Program,Kazakhstan,April Rivera,Cold Injection,LOT-56689918,2027-02-21,2,2,3,2,1,18,65,58
Both Program,American Samoa,April Rivera,Cold Injection,LOT-56689918,2027-02-21,3,2,2,0,0,20,105,59
Compare Study,Kenya,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,2,6,1,3,4,10,65,67
Compare Study,Greece,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,4,7,3,1,2,20,91,62
Compare Study,Malaysia,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,4,8,1,1,2,10,119,71
Compare Study,Bahamas,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,4,2,1,4,1,13,55,25
Recent Trial,Turkmenistan,Sarah Aguirre,Contain Solution,LOT-90900846,2026-03-28,5,2,3,0,1,12,111,26
Recent Trial,Guam,Sarah Aguirre,Contain Solution,LOT-90900846,2026-03-28,5,3,2,4,5,16,84,35
Reality Program,Greece,Jose Wood,Step Solution,LOT-92214561,2027-10-18,0,2,2,0,5,18,51,50
Reality Program,Lesotho,Jose Wood,Step Solution,LOT-92214561,2027-10-18,2,7,1,4,2,18,78,21
Reality Program,Finland,Jose Wood,Step Solution,LOT-92214561,2027-10-18,0,7,2,3,5,13,72,22
Reality Program,Argentina,Jose Wood,Step Solution,LOT-92214561,2027-10-18,0,7,0,0,1,15,55,36
Improve Trial,Mali,Tommy Dawson,Set Solution,LOT-89350866,2025-02-07,4,9,0,4,4,14,64,27
And Study,Togo,Luke Shelton,Effort Capsule,LOT-73297905,2027-10-04,4,5,2,2,2,19,90,58
And Study,Mali,Luke Shelton,Effort Capsule,LOT-73297905,2027-10-04,0,7,3,4,6,14,80,27
And Study,Finland,Luke Shelton,Effort Capsule,LOT-73297905,2027-10-04,2,4,3,2,5,20,119,34
And Study,Qatar,Luke Shelton,Effort Capsule,LOT-73297905,2027-10-04,0,3,3,0,5,17,66,46
None Trial,Tokelau,Sarah Richardson,Compare Tablet,LOT-60226706,2026-10-02,0,3,3,4,6,14,103,55
Shake Study,Grenada,Jeffrey Jimenez,Dog Patch,LOT-16824774,2025-09-28,2,4,1,4,4,11,93,22
Shake Study,Albania,Jeffrey Jimenez,Dog Patch,LOT-16824774,2025-09-28,3,7,2,2,2,19,105,77
None Trial,Saint Kitts and Nevis,Sarah Richardson,Positive Injection,LOT-76547161,2027-05-21,1,5,2,0,2,16,100,71
Home Trial,Finland,Megan Hicks,Offer Tablet,LOT-39007987,2027-02-22,1,6,2,0,5,18,80,40
Home Trial,Saudi Arabia,Megan Hicks,Offer Tablet,LOT-39007987,2027-02-22,2,8,3,0,0,16,118,20
Job Trial,Russian Federation,Paul Burke,Us Solution,LOT-16473868,2027-01-28,3,5,3,3,4,15,98,36
Job Trial,Zambia,Paul Burke,Us Solution,LOT-16473868,2027-01-28,0,2,2,0,2,16,113,65
Job Trial,Austria,Paul Burke,Us Solution,LOT-16473868,2027-01-28,2,6,1,2,3,19,65,64
Job Trial,Bahamas,Paul Burke,Us Solution,LOT-16473868,2027-01-28,1,9,0,4,3,19,66,20
Past Trial,Zambia,Logan Rogers,Memory Solution,LOT-21570201,2026-12-22,4,3,1,0,2,11,112,38
Past Trial,Holy See (Vatican City State),Logan Rogers,Memory Solution,LOT-21570201,2026-12-22,5,3,2,3,4,10,66,62
Wear Program,Tokelau,Michael Santiago,Agency Injection,LOT-27778437,2025-04-09,2,10,2,2,6,16,93,73
Wear Program,Guam,Michael Santiago,Agency Injection,LOT-27778437,2025-04-09,0,5,3,3,4,18,110,72
Wear Program,Canada,Michael Santiago,Agency Injection,LOT-27778437,2025-04-09,1,2,3,3,0,19,72,70
Recent Trial,Saudi Arabia,Heather Lewis,Contain Solution,LOT-25529234,2025-04-14,4,8,1,1,0,10,83,28
Recent Trial,Zambia,Heather Lewis,Contain Solution,LOT-25529234,2025-04-14,4,7,2,3,0,11,105,40
Recent Trial,Albania,Heather Lewis,Contain Solution,LOT-25529234,2025-04-14,5,4,1,0,1,10,101,50
Job Trial,Kazakhstan,Deborah Lopez,Us Solution,LOT-16473868,2027-01-28,5,10,1,2,6,19,93,26
Job Trial,Malaysia,Deborah Lopez,Us Solution,LOT-16473868,2027-01-28,4,4,0,4,2,17,77,59
Job Trial,Albania,Deborah Lopez,Us Solution,LOT-16473868,2027-01-28,2,2,0,3,0,15,64,44
Job Trial,Mali,Deborah Lopez,Us Solution,LOT-16473868,2027-01-28,3,4,1,4,2,10,55,20
Majority Trial,Portugal,Kenneth Thomas,Keep Capsule,LOT-30151730,2027-03-31,2,4,2,4,1,18,88,39
Camera Trial,Indonesia,Melissa Morris,Cell Tablet,LOT-20749320,2027-03-24,5,7,1,1,5,13,86,22
