Batch number,Batch Use,BW: Document Item Number,ID,Inspection Lot Number,Item Category in Purchasing Document,Item number of purchasing document,Level,Material,Order Category,Order item number,Order Number,Plant,Purchasing document number,Record type,Request Transaction Sequence Number,Sales Document,Sold-to Party,Type,Unit of Measure,Vendor Batch Number,Quantity,Material_ID,Plant_ID,Material_Type_ID,Trial Alias
LOT-59019698,Production,784379784,809121075,IL7439103,In,567335884,Study,MAT-22152,Firm,215887CE-296,4C575DF3-DBF,LAT04,488616823,Production,524754213,SD178209,"Stark, Stewart and Burnett",Half,Could,LOT-59019698,266,MAT-22152,LAT04,Ancillary Supply,CT-3472-PNG
LOT-36766763,Packaging,265427975,325852682,IL2749197,Own,453928360,Country,MAT-22152,During,D465FA61-668,7BB74C9C-D85,US01,135935298,Transfer,469851398,SD477798,Chavez and Sons,Worker,Fear,LOT-36766763,334,MAT-22152,US01,Ancillary Supply,CT-3472-PNG
LOT-88008746,Production,906840164,202696703,IL9067762,Human,781266343,Country,MAT-45907,On,AB2CA71A-47C,A3929C23-5C7,US01,277012591,Transfer,325786893,SD648435,Duncan-Rosales,Ball,End,LOT-88008746,169,MAT-45907,US01,Ancillary Supply,CT-3472-PNG
LOT-14377768,Packaging,857999616,552252940,IL9626897,Its,541982098,Country,MAT-45907,Radio,6BF20FDB-A43,22D3A96C-CE5,US01,870518537,Transfer,294434441,SD720420,"Foley, Flowers and Johnson",Computer,Medical,LOT-14377768,148,MAT-45907,US01,Ancillary Supply,CT-3472-PNG
LOT-16979238,Production,154622835,377365284,IL2132887,Learn,638880895,Study,MAT-45907,Raise,9313CC9E-3F2,E09D9D69-D6E,EU02,704846052,Production,308475610,SD869382,"Jones, Fuller and Matthews",Environment,Full,LOT-16979238,446,MAT-45907,EU02,Ancillary Supply,CT-3472-PNG
LOT-22463904,Distribution,126627543,976739410,IL2399685,Build,633902665,Study,MAT-45907,Position,E70B0CD9-41B,6BBDED17-78C,US01,824494346,Production,851112959,SD984105,Taylor LLC,Production,Themselves,LOT-22463904,149,MAT-45907,US01,Ancillary Supply,CT-3472-PNG
LOT-21437748,Packaging,860432210,492162419,IL8595083,Tough,630209698,Study,MAT-84153,Many,26C6F3AA-518,29A6CFAF-AF6,US01,818984191,Production,851701093,SD434973,"Lang, King and Benson",Certain,Important,LOT-21437748,243,MAT-84153,US01,Comparator,CT-3472-PNG
LOT-89268420,Production,228244167,183911576,IL9424299,Record,582183229,Site,MAT-84153,Lose,276063F6-554,9D1D8DAF-160,EU02,422048532,Production,455447508,SD634684,Jones Group,Run,Son,LOT-89268420,372,MAT-84153,EU02,Comparator,CT-3472-PNG
LOT-96443919,Distribution,270362618,852341944,IL8487681,Son,648439581,Country,MAT-31615,Too,1466B603-499,1DE4A4D7-80D,EU02,911667079,Transfer,908132573,SD495477,Weaver PLC,Indeed,Six,LOT-96443919,392,MAT-31615,EU02,Comparator,CT-9781-BYC
LOT-91403277,Packaging,232824187,867184753,IL4530260,Technology,705693487,Site,MAT-31615,Shoulder,19165D8C-A56,D822806C-DEC,AP03,483598452,Transfer,812680054,SD772076,Hancock-Lewis,Various,Beautiful,LOT-91403277,488,MAT-31615,AP03,Comparator,CT-9781-BYC
LOT-56495866,Distribution,929565325,485722718,IL4818784,Ever,554303844,Study,MAT-31615,Together,AD35DE4B-215,044D2FC6-0A1,LAT04,939285044,Transfer,582590185,SD877061,Lewis-Huynh,Threat,Red,LOT-56495866,258,MAT-31615,LAT04,Comparator,CT-9781-BYC
LOT-27880910,Distribution,418467890,670568786,IL7660704,Next,338568186,Study,MAT-98864,Day,46866D25-F7F,C3C4CA8C-DA3,LAT04,113365184,Production,908643783,SD693423,Rodriguez-Ryan,Participant,Through,LOT-27880910,366,MAT-98864,LAT04,Ancillary Supply,CT-9781-BYC
LOT-76547161,Production,336388716,228735716,IL7560996,Upon,482992810,Study,MAT-98864,Safe,29A6CFAF-AF6,DB096D51-BDC,AP03,540243905,Transfer,198277907,SD913958,"Guzman, Hanson and Young",Media,Security,LOT-76547161,379,MAT-98864,AP03,Ancillary Supply,CT-9781-BYC
LOT-37532398,Distribution,908307073,191130092,IL8911518,Occur,769921910,Country,MAT-98864,Indeed,105D5698-13F,30986C0B-785,LAT04,845297867,Transfer,506474502,SD756712,Ramirez Group,Early,Tell,LOT-37532398,66,MAT-98864,LAT04,Ancillary Supply,CT-9781-BYC
LOT-30558715,Production,140705766,793038277,IL7028410,Buy,138843512,Site,MAT-59079,Consider,302EBFD8-75D,703C84BA-54F,US01,996717526,Transfer,379134789,SD344013,Smith-Wright,Include,Most,LOT-30558715,254,MAT-59079,US01,Investigational Product,CT-9781-BYC
LOT-35724940,Distribution,828892440,492279941,IL7488291,Mean,571356007,Country,MAT-59079,Arm,835C170B-558,81962565-3BA,LAT04,419183913,Production,516305870,SD956750,Martinez PLC,Property,Once,LOT-35724940,96,MAT-59079,LAT04,Investigational Product,CT-9781-BYC
LOT-62858960,Distribution,551065902,323458565,IL9023941,Thank,121536833,Study,MAT-59079,Huge,E7347777-52D,053A9347-DD8,AP03,765898201,Production,763132422,SD796505,"Hubbard, Miller and Smith",Majority,Relate,LOT-62858960,203,MAT-59079,AP03,Investigational Product,CT-9781-BYC
LOT-60226706,Production,297484464,889241214,IL3939589,Woman,456684305,Country,MAT-96156,Often,C39FF96A-D71,2A431C19-BD6,US01,774976837,Production,717830613,SD609336,"Blair, Johnson and Herrera",Its,Scientist,LOT-60226706,157,MAT-96156,US01,Ancillary Supply,CT-9781-BYC
LOT-50305764,Packaging,435430450,535711396,IL6063930,Because,346798500,Country,MAT-96156,Suffer,9313CC9E-3F2,57C036FF-7C4,US01,898227869,Production,909884303,SD108953,Mendoza-Mendez,Religious,Find,LOT-50305764,300,MAT-96156,US01,Ancillary Supply,CT-9781-BYC
LOT-72341875,Packaging,990657769,793217846,IL5166795,Character,567755458,Study,MAT-96156,Must,C3C4CA8C-DA3,13D23ECC-032,LAT04,474880919,Transfer,310353616,SD320077,Brown-Rowe,Great,Finally,LOT-72341875,72,MAT-96156,LAT04,Ancillary Supply,CT-9781-BYC
